B36301002367,63070501001,12/01/2022 3:15 PM,2432.5,34750,PM001,4322345431236540,12/01/2022 3:20 PM,Nirosesofia,(480) 555-0112,NULL
B36301002368,63070501002,15/01/2022 1:15 AM,275.8,3940,PM003,NULL,15/01/2022 1:20 AM,Arlene,(480) 555-0113,Great Service!!
B36301002369,63070501003,16/01/2022 4:25 PM,1339.8,19140,PM002,NULL,16/01/2022 4:30 PM,Wade,(480) 555-0114,NULL
B36301002370,63070501004,20/01/2022 6:05 PM,1692.6,24180,PM001,4322345431236540,20/01/2022 6:05 PM,Darrell,(480) 555-0115,No smoking
B36301002371,63070501005,21/01/2022 3:17 PM,2373,33900,PM002,NULL,21/01/2022 3:17 PM,Hony,(480) 555-0116,NULL
B36301002372,63070501006,23/01/2022 3:15 PM,224,3200,PM001,4322345431236540,23/01/2022 3:15 PM,Kirigaya,012-345-6789,NULL
B36301002373,63070501007,28/01/2022 3:15 PM,3148.6,44980,PM003,NULL,28/01/2022 3:15 PM,Yuuki,055-155-5511,NULL
B36301002374,63070501008,7/02/2022 3:15 PM,894.6,12780,PM002,NULL,7/02/2022 3:15 PM,Nobi,033-444-5566,NULL
B36301002375,63070501009,12/02/2022 3:15 PM,245,3500,PM004,NULL,12/02/2022 3:15 PM,Gouda,099-987-6543,NULL
B36301002376,63070501010,16/02/2022 3:15 PM,1925,27500,PM002,NULL,16/02/2022 3:15 PM,Midoriya,044-6342-5876,NULL
B36301002377,63070501011,20/02/2022 3:15 PM,697.2,9960,PM001,4322345431236550,20/02/2022 3:15 PM,Uraraka,023-423-3111,NULL
B36301002378,63070501012,22/02/2022 3:15 PM,1020.6,14580,PM001,4322345431236550,22/02/2022 3:15 PM,Mike,018-246-3579,NULL
B36301002379,63070501013,24/02/2022 3:15 PM,595,8500,PM002,NULL,24/02/2022 3:15 PM,Kamado,044-674-9753,NULL
B36301002380,63070501014,4/03/2022 3:15 PM,1050,15000,PM001,4322345431236550,4/03/2022 3:15 PM,Zenitsu,039-485-6758,NULL
B36301002381,63070501015,5/03/2022 3:15 PM,2902.9,41470,PM002,NULL,5/03/2022 3:15 PM,John,044-555-5555,NULL
B36301002382,63070501016,7/03/2022 3:15 PM,577.5,8250,PM001,4322345431236550,7/03/2022 3:15 PM,Cody,012-345-6715,NULL
B36301002383,63070501017,12/03/2022 3:15 PM,87.5,1250,PM004,NULL,12/03/2022 3:15 PM,Devon,012-345-6716,NULL
B36301002384,63070501018,20/03/2022 3:15 PM,1779.19,25417,PM001,4322345431236560,20/03/2022 3:15 PM,Esther,043-6342-5876,NULL
B36301002385,63070501019,"03/21/2022,15:15",1208.9,17270,PM003,NULL,21/03/2022 3:15 PM,Kathryn,043-6342-5877,NULL
B36301002386,63070501020,"03/21/2022,09:31",630,9000,PM001,4322345431236560,21/03/2022 9:31 AM,Wade,043-6342-5878,NULL
B36301002387,63070501021,"03/24/2022,15:15",90.3,1290,PM001,4322345431236560,24/03/2022 3:15 PM,Savannah,043-6342-5879,NULL
B36301002388,63070501022,"03/25/2022,15:15",161,2300,PM003,NULL,25/03/2022 3:15 PM,Saburo,043-6342-5880,NULL
B36301002389,63070501023,"03/26/2022,15:15",1070.3,15290,PM003,NULL,26/03/2022 3:15 PM,Masato,012-345-6722,NULL
B36301002390,63070501024,"03/30/2022,15:15",442.26,6318,PM002,NULL,30/03/2022 3:15 PM,Otake,012-345-6723,NULL
B36301002391,63070501025,1/04/2022 3:15 PM,1020.6,14580,PM002,NULL,1/04/2022 3:15 PM,Prayuay,012-345-6724,NULL
B36301002392,63070501026,5/04/2022 3:15 PM,214.2,3060,PM001,4322345431236560,5/04/2022 3:15 PM,Chowkuay,012-345-6725,NULL
B36301002393,63070501027,6/04/2022 3:15 PM,154,2200,PM001,4322345431236560,6/04/2022 3:15 PM,Lodchong,012-345-6726,NULL
B36301002394,63070501028,11/04/2022 3:15 PM,866.25,12375,PM003,NULL,11/04/2022 3:15 PM,North,012-345-6727,NULL
B36301002395,63070501029,17/04/2022 6:21 PM,327.6,4680,PM001,4322345431236570,17/04/2022 6:21 PM,Kibzy,012-345-6728,NULL
B36301002396,63070501030,18/04/2022 3:15 PM,2156,30800,PM002,NULL,18/04/2022 3:15 PM,New,012-345-6729,NULL
