63070501001,Kirigaya,Kazuto,012-345-6789,2000-07-10,M,"Shinjuku-ku, Tokyo 160-0022",kiritoza55Lnw@gmail.com,gamer555,User
63070501002,Yuuki,Asuna,055-155-5511,1999-09-30,F,"Chofu Ga Oka, Chofu-shi, Tokyo 182-0021",asunayuki@gmail.com,qwerty123,User
63070501003,Nobi,Nobita,033-444-5566,1995-01-01,M,"Fujimi-cho, Chofu-shi, Tokyo 182-0033",IloveGiant@hotmail.com,giantkun,User
63070501004,Gouda,Takeshi,099-987-6543,1994-04-08,M,"Chuo, Edogawa-ku, Tokyo 132-0021",Giantthebest@hotmail.com,dummynobi,User
63070501005,Midoriya,Izuku,044-634-5876,2001-07-15,M,"Hane, Hamura-shi, Tokyo 205-0012",AllmightIdol@gmail.com,Ilovealmight,User
63070501006,Uraraka,Ochako,023-423-3111,2001-12-27,F,"Akutsu-cho, Ota-shi, Gunma 370-0402",Chokobanana@outlook.com,Dekusuki,User
63070501007,Mike,Miller,018-246-3579,1988-08-08,M,"Betsupo, Tomioka-shi, Gunma 370-2342",MikeGE@outlook.com,de1234,User
63070501008,Kamado,Tanjirou,044-674-9753,1990-07-14,M,"Daimyoji, Ebino-shi, Miyazaki 889-4311",Kamadosun@gmail.com,Muzan666,User
63070501009,Zenitsu,Agatsuma,039-485-6758,1990-09-03,M,"Bessho, Kurayoshi-shi, Tottori 682-0905",Nezukochan@hotmail.com,Zenitsuko,User
63070501010,John,Yasen,044-555-5555,2002-08-23,M,"Ecchu Machi, Kurayoshi-shi, Tottori 682-0865",John1tap@gmail.com,Ilovesuperbu,User
